Year,Month,Day,Hour,ALLSKY_SFC_SW_DWN,Temperature,Relative_Humidity,Surface_Pressure,Wind_Speed
2023,1,1,0,0,14.02,76.07,94.45,2.49
2023,1,1,1,0,13.41,76.67,94.41,2.56
2023,1,1,2,0,12.75,77.98,94.37,2.7
2023,1,1,3,0,12.17,79.42,94.37,2.86
2023,1,1,4,0,11.7,80.51,94.38,2.99
2023,1,1,5,0,11.34,81.48,94.43,3.12
2023,1,1,6,3.58,11.18,82.19,94.5,3.2
2023,1,1,7,122.35,14.47,73.8,94.58,3.26
2023,1,1,8,329.95,17.7,60.97,94.64,4.06
2023,1,1,9,527.7,21.1,55.43,94.65,3.24
2023,1,1,10,676.95,24.76,42.22,94.61,2.18
2023,1,1,11,759.35,26.07,40.14,94.54,1.21
2023,1,1,12,760.38,26.79,38.99,94.44,0.73
2023,1,1,13,698.15,27.07,38.36,94.35,1.2
2023,1,1,14,567.95,26.88,39.02,94.29,1.63
2023,1,1,15,384.17,26.26,41.25,94.27,1.92
2023,1,1,16,178.12,24.56,52.24,94.28,1.97
2023,1,1,17,16.6,20.57,68.82,94.33,2.37
2023,1,1,18,0,18.8,69.14,94.4,2.64
2023,1,1,19,0,17.92,70.55,94.46,2.62
2023,1,1,20,0,17.18,71.42,94.48,2.59
2023,1,1,21,0,16.28,73.35,94.49,2.69
2023,1,1,22,0,15.25,76.6,94.46,2.88
2023,1,1,23,0,14.31,79.51,94.42,3.07
2023,1,2,0,0,13.54,81.62,94.38,3.2
2023,1,2,1,0,12.91,83.3,94.35,3.26
2023,1,2,2,0,12.49,84.04,94.31,3.44
2023,1,2,3,0,12.28,84.05,94.31,3.79
2023,1,2,4,0,12.17,83.62,94.33,4.22
2023,1,2,5,0,12.13,83.05,94.39,4.66
2023,1,2,6,0,12.14,82.43,94.48,5.05
2023,1,2,7,143.12,14.04,74.36,94.55,6.07
2023,1,2,8,325.65,16.87,66.75,94.62,5.74
2023,1,2,9,517.25,20.71,57.81,94.64,5.3
2023,1,2,10,663.9,24.36,46.49,94.6,4.87
2023,1,2,11,724.7,26.34,41.82,94.53,3.37
2023,1,2,12,739.47,27.25,40.48,94.43,2.15
2023,1,2,13,680.53,27.64,39.57,94.35,1.09
2023,1,2,14,550.85,27.6,39.19,94.29,0.43
2023,1,2,15,368.5,27.01,41.6,94.26,0.93
2023,1,2,16,166.6,25.57,51.51,94.28,1.32
2023,1,2,17,16.33,22.26,61.77,94.32,1.84
2023,1,2,18,0,20.19,64.67,94.38,2.31
2023,1,2,19,0,18.63,70.06,94.46,2.64
2023,1,2,20,0,17.57,72.76,94.51,2.71
2023,1,2,21,0,16.91,73.08,94.53,2.59
2023,1,2,22,0,16.41,72.36,94.51,2.46
2023,1,2,23,0,15.66,73.18,94.48,2.47
2023,1,3,0,0,14.51,76.86,94.43,2.73
2023,1,3,1,0,13.58,79.58,94.39,3.05
2023,1,3,2,0,12.97,80.17,94.35,3.28
2023,1,3,3,0,12.56,79.55,94.34,3.46
2023,1,3,4,0,12.28,78.93,94.35,3.71
2023,1,3,5,0,12.1,78.86,94.4,3.99
2023,1,3,6,0,12.08,78.7,94.47,4.33
2023,1,3,7,101.4,14.37,70.21,94.56,5.55
2023,1,3,8,293.73,17.1,64.86,94.62,5.47
2023,1,3,9,465.75,20.73,59.09,94.64,4.84
2023,1,3,10,613.5,24.41,47.72,94.58,4.05
2023,1,3,11,696.6,26.09,44.73,94.48,2.76
2023,1,3,12,648.45,26.83,43.87,94.37,1.73
2023,1,3,13,598.22,27.21,42.7,94.26,0.85
2023,1,3,14,474.55,27.11,42.29,94.2,1.04
2023,1,3,15,317.1,26.48,45.01,94.19,1.64
2023,1,3,16,151.15,24.78,56.87,94.22,1.84
2023,1,3,17,13.88,20.94,72.24,94.28,2.33
2023,1,3,18,0,18.96,75.53,94.37,2.72
2023,1,3,19,0,17.92,78.64,94.44,2.69
2023,1,3,20,0,17.23,79.35,94.48,2.47
2023,1,3,21,0,16.7,78.68,94.49,2.32
2023,1,3,22,0,16.23,77.13,94.45,2.21
2023,1,3,23,0,15.76,75.67,94.4,2.15
2023,1,4,0,0,15.22,75,94.35,2.2
2023,1,4,1,0,14.59,75.72,94.3,2.34
2023,1,4,2,0,13.88,77.73,94.24,2.62
2023,1,4,3,0,13.27,79.58,94.22,2.91
2023,1,4,4,0,12.84,80.85,94.24,3.11
2023,1,4,5,0,12.54,81.79,94.3,3.36
2023,1,4,6,0,12.42,82.4,94.38,3.8
2023,1,4,7,90.43,14.2,74.9,94.45,5.26
2023,1,4,8,247.85,16.62,68.14,94.5,5.23
2023,1,4,9,428.48,20.09,58.71,94.51,5.1
2023,1,4,10,575.8,23.38,49.09,94.46,4.7
2023,1,4,11,668.22,25.12,46.86,94.37,3.74
2023,1,4,12,634.3,26.02,46.85,94.25,3.08
2023,1,4,13,570.33,26.47,47.04,94.15,2.35
2023,1,4,14,444.17,26.52,47.35,94.08,1.59
2023,1,4,15,286.62,26.11,48.63,94.06,1.03
2023,1,4,16,125.62,24.98,57.75,94.07,0.77
2023,1,4,17,13.62,22.85,62.09,94.12,1.08
2023,1,4,18,0,21.16,66.08,94.19,1.38
2023,1,4,19,0,20.27,68.41,94.25,1.55
2023,1,4,20,0,19.38,71.01,94.31,1.75
2023,1,4,21,0,18.17,75.96,94.33,2.1
2023,1,4,22,0,16.92,81.34,94.33,2.49
2023,1,4,23,0,16.13,84.7,94.3,2.76
2023,1,5,0,0,15.54,86.47,94.25,3.01
2023,1,5,1,0,15.14,88.24,94.21,3.42
2023,1,5,2,0,14.88,90.41,94.17,3.89
2023,1,5,3,0,14.6,93.31,94.17,4.22
2023,1,5,4,0,14.51,95.34,94.2,4.57
2023,1,5,5,0,14.51,96.76,94.26,4.94
2023,1,5,6,0,14.58,97.51,94.38,5.23
2023,1,5,7,75.5,15.87,92.43,94.48,6.04
2023,1,5,8,202.48,18.43,81.64,94.57,6.56
2023,1,5,9,365.05,21.48,68.35,94.58,7.03
2023,1,5,10,575.2,23.86,59.39,94.55,6.81
2023,1,5,11,677.67,25.32,54.85,94.48,5.98
2023,1,5,12,613.05,26.33,52.36,94.4,4.9
2023,1,5,13,535.88,26.89,50.95,94.31,3.84
2023,1,5,14,413.7,26.93,50.6,94.26,2.99
2023,1,5,15,284.45,26.42,52.56,94.24,2.37
2023,1,5,16,123.85,25.18,62.59,94.26,1.66
2023,1,5,17,13.5,23.23,68.61,94.31,1.5
2023,1,5,18,0,21.83,71.11,94.39,1.87
2023,1,5,19,0,20.43,77.62,94.48,2.31
2023,1,5,20,0,19.47,81.7,94.53,2.63
2023,1,5,21,0,18.78,83.65,94.55,2.84
2023,1,5,22,0,18.23,85.14,94.53,2.98
2023,1,5,23,0,17.77,86.87,94.49,3.14
2023,1,6,0,0,17.34,88.92,94.45,3.43
